Alabama,South,37508,
Alaska,West,63610,9.84
Arizona,West,39583,10.5
Arkansas,South,36714,8.5
California,West,60359,11
Colorado,West,54026,10.2
Connecticut,Northeast,62633,10.1
Delaware,South,63955,8.25
Florida,South,39842,8.25
Georgia,South,45925,5.15
Hawaii,West,52869,10.1
Idaho,West,36441,7.25
Illinois,Midwest,55102,8.25
Indiana,Midwest,46427,7.25
Iowa,Midwest,52284,7.25
Kansas,Midwest,47435,7.25
Kentucky,South,39277,7.25
Louisiana,South,44372,
Maine,Northeast,39521,10
Maryland,South,56375,9.25
Massachusetts,Northeast,66500,11
Michigan,Midwest,44201,9.25
Minnesota,Midwest,54805,9.65
Mississippi,South,32447,
Missouri,Midwest,43036,7.85
Montana,West,39833,8.3
Nebraska,Midwest,54654,9
Nevada,West,44812,8.25
New Hampshire,Northeast,52509,7.25
New Jersey,Northeast,56776,8.6
New Mexico,West,41619,7.5
New York,Northeast,65220,10.4
North Carolina,South,44706,7.25
North Dakota,Midwest,64911,7.25
Ohio,Midwest,48188,8.3
Oklahoma,South,44535,7.25
Oregon,West,51312,10.25
Pennsylvania,Northeast,51841,7.25
Rhode Island,Northeast,48314,10.1
South Carolina,South,37637,
South Dakota,Midwest,48004,8.85
Tennesse,South,44348,
Texas,South,53737,7.25
Utah,West,45493,7.25
Vermont,Northeast,44831,10.5
Virginia,South,52124,7.25
Washington,West,59333,11.5
West Virginia,South,37353,8.75
Wisconsin,Midwest,48666,7.25
Wyoming,West,61091,5.15
